CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50087995,LA TROPEZIENNE BAKERY,Manhattan,2131,1 AVENUE,10029,2128605324,Bakery,1/2/2020,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",N,25,,,10/26/2020,Pre-permit (Operational) / Second Compliance Inspection,40.79196636,-73.9383632,111,8,18000,1052841,1016810028,MN34
41718160,CARBONE,Manhattan,181,THOMPSON STREET,10012,2129330707,Italian,5/17/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,20,,,10/26/2020,Cycle Inspection / Initial Inspection,40.72787633,-74.00014432,102,3,6500,1084920,1005257503,MN23
50063307,LASER BOUNCE,Queens,8028,COOPER AVE,11385,3475991919,American,4/13/2018,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,21,,,10/26/2020,Cycle Inspection / Initial Inspection,40.70975969,-73.86860455,405,30,63700,4530758,4038100350,QN19
50054610,ISTANBUL BAY,Brooklyn,8002,5 AVENUE,11209,9292922353,Mediterranean,2/7/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,13,,,10/26/2020,Cycle Inspection / Initial Inspection,40.62565558,-74.02421191,310,43,13800,3151324,3059890043,BK31
50081804,NEW SUNNY EAST 88,Manhattan,1680,1 AVENUE,10128,2128769332,Chinese,9/23/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,A,9/23/2019,10/26/2020,Cycle Inspection / Re-inspection,40.77787711,-73.94862706,108,5,14402,1050607,1015670046,MN32
41580082,THE LEOPARD AT DES ARTISTES,Manhattan,1,WEST   67 STREET,10023,2127878767,Italian,6/9/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,12,A,6/9/2018,10/26/2020,Cycle Inspection / Initial Inspection,40.77321231,-73.97870202,107,6,15300,1028242,1011200023,MN14
50088055,ZATAR CAFE & BISTRO,Brooklyn,1201,8 AVENUE,11215,9295211287,Middle Eastern,12/14/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,40,,,10/26/2020,Cycle Inspection / Initial Inspection,40.66384742,-73.98078803,306,39,16700,3026405,3010990009,BK37
50003174,BOILERMAKER,Manhattan,72,EAST    1 STREET,10003,2129955400,American,7/21/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,22,,,10/26/2020,Cycle Inspection / Initial Inspection,40.7233771,-73.98870059,103,2,3602,1079099,1004437503,MN22
40522190,KINGS CARRIAGE HOUSE,Manhattan,251,EAST   82 STREET,10028,2127345490,American,3/22/2017,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,7,,,10/26/2020,Cycle Inspection / Initial Inspection,40.77575798,-73.95472696,108,5,13800,1078562,1015280120,MN32
41422427,FINNERTY'S,Manhattan,221,2 AVENUE,10003,2126772655,American,10/24/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,6,A,10/24/2017,10/26/2020,Cycle Inspection / Re-inspection,40.73206114,-73.98516308,103,2,4000,1006907,1004690033,MN22
41361120,SOFIA PIZZA RESTAURANT,Brooklyn,2822,CONEY ISLAND AVENUE,11235,7185136300,Pizza,10/25/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,7,A,10/25/2017,10/26/2020,Cycle Inspection / Re-inspection,40.58776501,-73.96039588,313,48,37000,3196031,3072240100,BK19
50002502,LE REVE,Manhattan,125,EAST   54 STREET,10022,2127597777,Middle Eastern,6/24/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,13,A,6/24/2017,10/26/2020,Cycle Inspection / Re-inspection,40.7592618,-73.97114783,105,4,10000,1036480,1013090008,MN19
50085940,BLUE HAVEN EAST,Manhattan,493,3 AVENUE,10016,6466784200,American,1/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,4,A,1/10/2019,10/26/2020,Pre-permit (Operational) / Re-inspection,40.74526513,-73.97844032,106,2,7000,1020104,1009140003,MN20
50079488,JOE & THE JUICE GREENWICH ST,Manhattan,295,GREENWICH STREET,10007,9179721892,CafÃ©/Coffee/Tea,12/30/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,A,12/30/2019,10/26/2020,Cycle Inspection / Re-inspection,40.71600194,-74.01101678,101,1,2100,1066187,1001377502,MN24
50085595,WANG LAO JI HERBAL TEA,Manhattan,221,GRAND STREET,10013,3477593997,CafÃ©/Coffee/Tea,12/18/2018,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,41,,,10/26/2020,Pre-permit (Operational) / Initial Inspection,40.71880205,-73.99581893,102,1,4100,1003105,1002380019,MN24
50037950,CHINA EXPRESS INN,Queens,15715,ROCKAWAY BLVD,11434,7189496525,Chinese,3/19/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,10,A,3/19/2019,10/26/2020,Cycle Inspection / Re-inspection,40.66618665,-73.77942563,413,31,30600,4284839,4132670015,QN03
50058969,CAFE CREOLE,Brooklyn,1366,FLATBUSH AVENUE,11210,7184341366,Creole,10/16/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,62,,,10/26/2020,Cycle Inspection / Re-inspection,40.63705273,-73.95215878,314,45,77000,3120838,3052260023,BK42
50080573,MIZU SUSHI,Brooklyn,311,BEDFORD AVENUE,11211,7187826666,Japanese,9/26/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,12,A,9/26/2018,10/26/2020,Pre-permit (Operational) / Initial Inspection,40.71335296,-73.96201274,301,34,55100,3321274,3024060001,BK73
