RECORD,CAMIS,DBA,BUILDING,STREET,ZIPCODE,BORO,PHONE,CUISINE_DESCRIPTION,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BIN,BBL,NTA
2,50088158,XIANG HOTPOT,5816,FORT HAMILTON PARKWAY,11219,Brooklyn,7188515888,Chinese,40.63393358,-74.00430183,312,43,11600,3140591,3057017501,BK88
4,40593848,MY LITTLE PIZZERIA,114,COURT STREET,11201,Brooklyn,7186436120,Pizza,40.69017665,-73.99213908,302,33,900,3002797,3002760044,BK09
5,50065679,NEW LEVEL JUICE,2244,1 AVENUE,10029,Manhattan,6469187910,"Juice, Smoothies, Fruit Salads",40.79552761,-73.93573783,111,8,17800,1053042,1017090003,MN34
7,50072578,FLAM'S CUISINE & CATERING,215-07,JAMAICA AVENUE,11428,Queens,7187402500,Caribbean,40.71716626,-73.74046223,413,23,54200,4226299,4106070047,QN34
8,40365166,CORNER BISTRO,331,WEST    4 STREET,10014,Manhattan,2122429502,American,40.73792485,-74.00386112,102,3,7700,1011036,1006150060,MN23
11,50060798,CROSSROAD CAFE (MORGAN LEWIS),101,PARK AVENUE,10178,Manhattan,2123096606,American,40.75098522,-73.97848538,105,4,8000,1036144,1012950001,MN20
12,50001256,HAN DYNASTY,90,3 AVENUE,10003,Manhattan,2123908685,Chinese,40.73211362,-73.98805324,103,2,4200,1009025,1005580036,MN22
15,50050958,MISIRIZZI,36,EAST    4 STREET,10003,Manhattan,2123750100,Italian,40.72742044,-73.99226095,102,2,5502,1008516,1005310031,MN23
16,41559846,DUNKIN,61-22,FRESH POND ROAD,11379,Queens,7184182393,American,40.71437334,-73.90110029,405,30,60300,4061366,4027470048,QN21
19,50134685,HIDE & SEEK,593,MANHATTAN AVENUE,11222,Brooklyn,9179090670,American,40.72299911,-73.95035432,301,33,56900,3066716,3026790022,BK76
20,41572018,"AIR BAR, NY DELI, TIM HORTONS",93-40,SUTPHIN BOULEVARD,11435,Queens,7187250002,American,40.69944586,-73.80720376,412,27,20800,4597086,4099890017,QN61
23,50075191,EL MONUMENTO,1185,BROADWAY,11221,Brooklyn,7184503380,Caribbean,40.6925144,-73.92734885,304,34,39500,3074307,3032630003,BK78
24,41690737,TAIM,45,SPRING STREET,10012,Manhattan,2122190600,Mediterranean,40.7218762,-73.99607849,102,1,4300,1075962,1004947502,MN24
25,50140483,NATIVE NOODLES,2129,AMSTERDAM AVENUE,10032,Manhattan,3478524299,Asian/Asian Fusion,40.83821242,-73.93810336,112,10,24900,1062647,1021110050,MN36
26,50036900,CHAI THAI KITCHEN,930,8 AVENUE,10019,Manhattan,2127078778,Thai,40.76550311,-73.98374408,105,3,13700,1024867,1010270001,MN17
28,50089606,STERLING CRUST WEST INDIAN RESTAURANT,747,NOSTRAND AVENUE,11216,Brooklyn,7184849659,Caribbean,40.67185849,-73.95030241,308,35,31702,3031911,3012480003,BK61
29,50013922,SKYTOWN,921,BROADWAY,11206,Brooklyn,3474353252,American,40.69749592,-73.93616447,304,34,38900,3071867,3031500002,BK78
36,41616179,DARO'S PIZZA,44-25,KISSENA BOULEVARD,11355,Queens,7184455573,Pizza,40.75337736,-73.82217032,407,20,85900,4117219,4051920015,QN22
37,50129596,FIESTA MEXICANA RESTAURANT,58-28,ROOSEVELT AVENUE,11377,Queens,9175597634,Mexican,40.74537707,-73.90625094,402,26,24900,4031213,4013310033,QN63
39,50001734,REDFARM,2170,BROADWAY,10024,Manhattan,2127249700,Asian/Asian Fusion,40.78213041,-73.98091987,107,6,16300,1030865,1011680044,MN12
40,40363427,BAGELS N BUNS,2491,VICTORY BOULEVARD,10314,Staten Island,7187611900,Sandwiches,40.61026786,-74.14640121,501,50,18901,5000000,5004860001,SI07
41,50043260,THE DEAD POET,450,AMSTERDAM AVENUE,10024,Manhattan,2125955670,Irish,40.7848525,-73.97709135,107,6,16700,1032685,1012290034,MN12
42,50100671,SONG BO YUAN,36,ELDRIDGE STREET,10002,Manhattan,2122192228,Chinese,40.71566191,-73.99322908,103,1,1600,1079649,1003000001,MN27
44,50106652,EMACK & BOLIO'S,1005,2 AVENUE,10022,Manhattan,6463989939,Frozen Desserts,40.75688923,-73.96707007,106,4,9800,1038560,1013270022,MN19
45,41476586,LUCKY 11 BAKERY,6322,11 AVENUE,11219,Brooklyn,7188338289,Bakery Products/Desserts,40.62962974,-74.0049068,310,38,21200,3141749,3057370046,BK30
49,50113973,BELLA UNION,411,3 AVENUE,10016,Manhattan,2123581902,American,40.74243565,-73.98050545,106,2,6600,1019911,1009090054,MN20
50,50063550,THE CAMPBELL,15,VANDERBILT AVENUE,10017,Manhattan,2122971781,American,40.7527857,-73.97807333,105,4,9200,1035381,1012800001,MN19
51,50044650,GOLDEN STEAMER,1964,86 STREET,11214,Brooklyn,7189967888,Chinese,40.60495971,-73.99886199,311,38,28400,3166863,3063740049,BK28
52,50103233,CORTO AFTER HOURS,260,HALSEY STREET,11216,Brooklyn,3473229002,Tapas,40.68255979,-73.94315189,303,36,26900,3331248,3018460009,BK75
56,50101503,EASTVIEW SR. LIVING,2306,3 AVENUE,10035,Manhattan,8663723035,American,40.80385516,-73.93570809,111,9,19600,1054485,1017740033,MN34
61,50129583,CANTINA 138,138,HAVEMEYER STREET,11211,Brooklyn,3473350440,Mexican,40.71200911,-73.95728819,301,34,52300,3063006,3024080023,BK73
62,50119359,NEMO'S BEER SHOP,110-64,QUEENS BOULEVARD,11375,Queens,9176871725,Other,40.71917754,-73.83889253,406,29,76901,4078799,4032927501,QN17
67,40586094,GENESIS # 1 WEST INDIAN,162-23,HILLSIDE AVENUE,11432,Queens,7187398443,Caribbean,40.70852412,-73.7999419,408,24,44602,4209091,4097710029,QN61
70,50104600,HOLYFRUITS JUICE PRESS,3932A,WHITE PLAINS ROAD,10466,Bronx,3476230932,Vegan,40.88662535,-73.86110356,212,12,39600,2063369,2048370041,BX44
72,50157149,WENZHOU SEAFOOD NOODLES SOUP,40-33,MAIN STREET,11354,Queens,7187990718,Chinese,40.75865321,-73.8296787,407,20,85300,4113543,4050190001,QN22
75,50082478,C & T CUISINE,5016,AVENUE D,11203,Brooklyn,7183472970,Caribbean,40.64213508,-73.92908667,317,45,84600,3106221,3047810007,BK96
77,41640580,EL BUEN SABOR,45-07,QUEENS BOULEVARD,11104,Queens,9173060532,Latin American,40.74324343,-73.91944777,402,26,18300,4001895,4001600005,QN31
81,50119988,IL MONELLO,337,EAST   49 STREET,10017,Manhattan,7189182684,Italian,40.75384007,-73.96801002,106,4,9800,1039467,1013420016,MN19
82,41046455,FREEMANS,191,CHRYSTIE STREET,10002,Manhattan,2124200012,American,40.7217909,-73.99196939,103,1,3601,1005720,1004260031,MN27
83,41582797,4618 BAKERY,4618,8 AVENUE,11220,Brooklyn,7184384820,Bakery Products/Desserts,40.64320004,-74.00154945,307,38,9400,3012066,3007590042,BK34
85,50044570,The STARLIGHT,596,GRAND STREET,11211,Brooklyn,7184863700,American,40.71122581,-73.94811592,301,34,50300,3069529,3027860017,BK90
89,50045255,PHO GRAND,277,GRAND STREET,10002,Manhattan,2129655366,Southeast Asian,40.71780555,-73.9927635,103,1,1600,1003959,1003060017,MN27
91,40402362,BLAKE & TODD,7,WEST   47 STREET,10036,Manhattan,2128691929,Sandwiches,40.75691952,-73.97918371,105,4,9600,1034484,1012630034,MN17
92,40559892,QUALITY MEATS,57,WEST   58 STREET,10019,Manhattan,2123717777,Steakhouse,40.76451354,-73.97552804,105,4,11201,1035250,1012747502,MN17
93,41158614,GOLDEN STAR GARDEN,1384,EAST GUNHILL ROAD,10469,Bronx,7185479699,Chinese,40.87004919,-73.84546055,211,12,35000,2055372,2045640075,BX31
95,50087537,M & R DELI & HERO SHOP,1200,MORRIS PARK AVENUE,10461,Bronx,7182393200,Sandwiches,40.85106797,-73.84854839,211,13,28600,2045250,2041200001,BX37
96,50105734,JAVELINA,1395,2 AVENUE,10021,Manhattan,9172617011,Tex-Mex,40.76929807,-73.95800585,108,5,12600,1043974,1014270028,MN31
98,50112490,OLD JOHN'S DINER,148,WEST   67 STREET,10023,Manhattan,2128742700,American,40.77501634,-73.98303408,107,6,15300,1028848,1011380061,MN14
100,50048224,DUNKIN BASKIN ROBBINS,1547,RALPH AVENUE,11236,Brooklyn,9178863304,Donuts,40.63927132,-73.91935037,318,45,95000,3222457,3079570023,BK50
101,50125963,AINSLIE BOWERY,199,BOWERY,10002,Manhattan,6463196122,Other,40.72114324,-73.99370112,103,1,1800,1087253,1004257502,MN27
102,50125853,OSTERIA ACCADEMIA,646,AMSTERDAM AVENUE,10025,Manhattan,5169823680,Italian,40.79115069,-73.97249185,107,6,17900,1033590,1012390032,MN12
103,41463441,THE IMMIGRANT WINE BAR,341,EAST    9 STREET,10003,Manhattan,6463081724,American,40.72874559,-73.98620293,103,2,4000,1006418,1004510041,MN22
104,41376444,DERA,72-09,BROADWAY,11372,Queens,7184766516,Pakistani,40.74757823,-73.89350429,403,25,29100,4029776,4012830041,QN28
105,40601006,LA BRUSCHETTA,256,7 AVENUE,11215,Brooklyn,7184994994,Pizza,40.66917209,-73.97968703,306,39,15300,3021506,3009890042,BK37
107,41128554,LA NONNA,134,MULBERRY STREET,10013,Manhattan,2123346200,Italian,40.71845352,-73.99773451,102,1,4100,1066508,1002377501,MN24
110,50087279,KENNEDY FRIED CHICKEN & SALAD BAR,3413,JEROME AVENUE,10467,Bronx,7186769700,Chicken,40.8811137,-73.88308791,207,11,42100,2017716,2033240164,BX43
113,41248529,ROUTE 66 CAFE,858,9 AVENUE,10019,Manhattan,2129777600,American,40.76704875,-73.98632493,104,6,13900,1025446,1010460063,MN15
114,50090490,ASIAN TASTE,199,EAST    3 STREET,10009,Manhattan,6465969595,Asian/Asian Fusion,40.72289339,-73.98348394,103,2,3200,1004999,1003990038,MN22
115,50150377,CATANIA BAKERY,487,HARMAN STREET,11237,Brooklyn,7183667813,Bakery Products/Desserts,40.70458506,-73.91420362,304,37,44300,3074927,3032820033,BK77
117,50102319,KRISPY KREME DOUGHNUTS,994,6 AVENUE,10018,Manhattan,2127768176,Donuts,40.75149972,-73.98653025,105,4,8400,1015919,1008380001,MN17
120,41615430,GUEROS BROOKLYN,605,PROSPECT PLACE,11238,Brooklyn,7182304941,Tex-Mex,40.67510539,-73.95664497,308,35,30500,3028679,3011560061,BK61
121,41077507,LA NUEVA ESTRELLA BAR & RESTAURANT,390,EAST  204 STREET,10467,Bronx,7186534111,Latin American,40.87131968,-73.87703429,207,11,42500,2017896,2033310048,BX43
122,40542345,TOWNE DELI & PIZZA,5373,ARTHUR KILL ROAD,10307,Staten Island,7182271985,Pizza,40.51336881,-74.24801199,503,51,24800,5088593,5079990024,SI11
123,50072800,ROCHDALE CHICKEN AND FISH,118-29,GUY R BREWER BOULEVARD,11434,Queens,7185937674,Chicken,40.68294068,-73.78222559,412,28,28400,4267633,4123540005,QN76
125,41482120,LOTUS LUCKY EXPRESS,4840,BROADWAY,10034,Manhattan,2125698899,Chinese,40.86642303,-73.92471403,112,10,29100,1081913,1022340004,MN01
126,40645039,TOWNHOUSE DINER,696,2 AVENUE,10016,Manhattan,2125996254,American,40.74708402,-73.97418109,106,4,7800,1021920,1009430061,MN20
129,50044717,FUKU - FA6090,4,PENN PLAZA,10121,Manhattan,2124656284,Hotdogs/Pretzels,40.75065484,-73.99194424,105,3,10100,1082908,1007810001,MN17
132,50112864,BAO HOUSE,5103,8 AVENUE,11220,Brooklyn,7187584777,Chinese,40.64045244,-74.00438153,312,43,10800,3138135,3056510009,BK34
133,50048262,DOMINICANA POLLO SABROSO RESTAURANT,105,EAST MOUNT EDEN AVENUE,10452,Bronx,7182944403,Latin American,40.843529,-73.91275873,204,16,22702,2008020,2028380001,BX41
137,40424633,MANNA HOUSE,125,MOTT STREET,10013,Manhattan,2129663766,Bakery Products/Desserts,40.71815158,-73.99693367,102,1,4100,1003095,1002370028,MN24
